epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5548,3.94753,5.86701,1.59523,0,0,0,0,3.76907,4.13078,1.24506,1.667e-05,1.667e-05,1.667e-05
2,10.7031,3.85248,4.90449,1.5476,0,0,0,0,3.75612,4.12602,1.24038,4.95149e-05,4.95149e-05,4.95149e-05
3,12.4276,4.51816,6.46345,1.7871,0,0,0,0,3.72982,4.07527,1.19778,8.16997e-05,8.16997e-05,8.16997e-05
4,14.5081,3.07093,4.50027,1.26394,0.00063,0.00073,0.00031,0.00016,3.45907,3.99129,1.06778,0.000113224,0.000113224,0.000113224
5,16.8542,3.57127,4.42109,1.25246,0.00341,0.00366,0.00172,0.00048,3.4327,3.94105,1.00171,0.000144089,0.000144089,0.000144089
6,18.4267,3.91234,4.65008,1.20057,0.00139,0.00146,0.0007,0.00031,3.589,3.91908,0.98742,0.000174293,0.000174293,0.000174293
7,19.7106,3.69715,4.44489,1.13192,0.00274,0.00293,0.00138,0.00045,3.54932,3.89852,0.97672,0.000203837,0.000203837,0.000203837
8,21.1719,3.57458,3.81387,1.08833,0.00166,0.0022,0.00083,0.00036,3.64361,3.85329,1.01022,0.000232722,0.000232722,0.000232722
9,22.4489,3.62979,3.73091,1.05265,0.00053,0.00073,0.00027,3e-05,3.64767,3.83375,1.01319,0.000260946,0.000260946,0.000260946
10,23.7111,3.85933,3.6231,1.04922,0,0,0,0,3.61205,3.83895,1.00184,0.000288509,0.000288509,0.000288509
11,25.0193,3.48693,3.34512,1.02625,0.00058,0.00073,0.00029,3e-05,3.58051,3.83672,0.9955,0.000315413,0.000315413,0.000315413
12,26.7789,3.51017,3.329,1.03812,0,0,0,0,3.54122,3.84886,0.98522,0.000341657,0.000341657,0.000341657
13,28.9696,3.90916,3.33423,1.02927,0,0,0,0,3.48063,3.8388,0.97869,0.00036724,0.00036724,0.00036724
14,30.2681,3.66413,3.11296,0.99865,0,0,0,0,3.45805,3.82438,0.97799,0.000392163,0.000392163,0.000392163
15,31.8776,3.66357,3.07659,1.01571,0.001,0.00073,0.00051,0.0001,3.41559,3.81916,0.9719,0.000416427,0.000416427,0.000416427
16,33.308,3.54921,2.86852,1.01111,0.00097,0.00073,0.00051,5e-05,3.46672,3.8083,0.97585,0.00044003,0.00044003,0.00044003
17,34.7535,3.80848,2.99902,0.99884,0.00187,0.00146,0.00096,0.00024,3.45269,3.77884,0.97784,0.000462973,0.000462973,0.000462973
18,36.2041,3.59728,2.82998,0.97072,0.00081,0.00073,0.00044,0.00013,3.44566,3.75806,0.98038,0.000485255,0.000485255,0.000485255
19,37.4682,3.49786,2.64087,0.98993,0,0,0,0,3.50967,3.74344,0.99351,0.000506878,0.000506878,0.000506878
20,39.3825,3.51824,2.62102,1.03067,0,0,0,0,3.54287,3.6832,0.99506,0.000527841,0.000527841,0.000527841
21,41.4467,3.53516,2.55166,0.98886,0.00309,0.00293,0.00161,0.00036,3.67599,3.62563,1.00376,0.000548143,0.000548143,0.000548143
22,42.848,3.23969,2.41201,0.97405,0.0088,0.00952,0.00483,0.00118,3.64017,3.5119,0.99874,0.000567785,0.000567785,0.000567785
23,44.2509,3.26036,2.328,0.96159,0.00732,0.00878,0.00446,0.00135,3.44946,3.50073,1.0092,0.000586767,0.000586767,0.000586767
24,45.8247,3.27605,2.24075,0.9557,0.00563,0.00659,0.00544,0.00158,3.42305,3.47321,1.00869,0.000605089,0.000605089,0.000605089
25,47.1484,3.28075,2.30133,0.98121,0.00368,0.00366,0.00309,0.00125,3.30927,3.42364,0.99854,0.000622751,0.000622751,0.000622751
26,48.4402,3.49933,2.24459,0.94615,0.00483,0.00439,0.00491,0.00176,3.25953,3.35309,0.98751,0.000639753,0.000639753,0.000639753
27,50.0758,3.30015,2.2325,0.98742,0.00945,0.00878,0.00779,0.00274,3.30083,3.24082,0.9644,0.000656095,0.000656095,0.000656095
28,51.8445,3.35213,2.26613,0.95603,0.00945,0.00878,0.00779,0.00274,3.30083,3.24082,0.9644,0.000671776,0.000671776,0.000671776
29,54.1683,3.17054,2.05367,0.95295,0.01766,0.01611,0.01463,0.0052,3.25855,3.16492,0.94995,0.000686797,0.000686797,0.000686797
30,55.9246,3.62658,2.65421,0.92566,0.02128,0.0205,0.01754,0.00698,3.2027,3.07563,0.94631,0.000701159,0.000701159,0.000701159
31,57.1706,3.27897,2.08315,0.93172,0.02128,0.0205,0.01754,0.00698,3.2027,3.07563,0.94631,0.00071486,0.00071486,0.00071486
32,58.9888,3.25495,2.07016,0.96775,0.04552,0.04466,0.03491,0.01267,3.16004,2.96759,0.93571,0.000727901,0.000727901,0.000727901
33,60.4455,3.17075,2.14349,0.95131,0.05865,0.07247,0.05342,0.02037,3.13426,2.84561,0.92719,0.000740281,0.000740281,0.000740281
34,61.8796,3.04966,1.91578,0.94741,0.05865,0.07247,0.05342,0.02037,3.13426,2.84561,0.92719,0.000752002,0.000752002,0.000752002
35,63.3211,3.57196,2.29669,0.91506,0.05701,0.09883,0.06377,0.02348,3.12451,2.72772,0.92553,0.000763063,0.000763063,0.000763063
36,65.2784,3.20089,2.07537,0.94214,0.05295,0.10395,0.06848,0.02371,3.21652,2.63158,0.92494,0.000773463,0.000773463,0.000773463
37,67.2613,3.05539,2.00226,0.93859,0.05295,0.10395,0.06848,0.02371,3.21652,2.63158,0.92494,0.000783203,0.000783203,0.000783203
